hotel,address,price,score,avg review,reviews count,lodgingtype,url,deals
menara bintang goldhill,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 855,"10
Scored 10",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/menara-bintang-goldhill-kuala-lumpur3.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=36&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1022763701_374736380_12_0_0&highlighted_blocks=1022763701_374736380_12_0_0&matching_block_id=1022763701_374736380_12_0_0&sr_pri_blocks=1022763701_374736380_12_0_0__85500&from=searchresults,No deals available
Luxury suites at Platinum by Faced,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 905,"10
Scored 10",Exceptional,4,Superior Apartment,https://www.booking.com/hotel/my/luxury-suites-at-platinum-by-faced.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=37&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1184303001_395038591_2_0_0&highlighted_blocks=1184303001_395038591_2_0_0&matching_block_id=1184303001_395038591_2_0_0&sr_pri_blocks=1184303001_395038591_2_0_0__90450&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Star KLCC by BHS,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 883,"10
Scored 10",Exceptional,3,One-Bedroom Apartment with City View,https://www.booking.com/hotel/my/star-klcc-by-bhs.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=38&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1210726401_393668210_0_0_0&highlighted_blocks=1210726401_393668210_0_0_0&matching_block_id=1210726401_393668210_0_0_0&sr_pri_blocks=1210726401_393668210_0_0_0__88277&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
De Sky Platinum Suites KLCC Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 989,"10
Scored 10",Exceptional,4,Deluxe King Studio,https://www.booking.com/hotel/my/de-sky-platinum-suites-klcc-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=39&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1210873602_393262201_0_0_0&highlighted_blocks=1210873602_393262201_0_0_0&matching_block_id=1210873602_393262201_0_0_0&sr_pri_blocks=1210873602_393262201_0_0_0__98892&from=searchresults,Limited-time Deal. You’re getting a reduced rate because this property has a limited-time deal running. These deals only last up to 48 hours..
Sky Suites Kuala Lumpur City Centre by Nadia,"Bukit Bintang, Kuala Lumpur","MYR 1,134","10
Scored 10",Exceptional,7,Three-Bedroom Apartment,https://www.booking.com/hotel/my/sky-suites-kuala-lumpur-city-centre-by-nadia-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=40&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1203957601_392629432_4_0_0&highlighted_blocks=1203957601_392629432_4_0_0&matching_block_id=1203957601_392629432_4_0_0&sr_pri_blocks=1203957601_392629432_4_0_0__113400&from=searchresults,No deals available
"The Leaf KL near MRT, UCSI 10 PAX, 1st Floor of the shoplot",Kuala Lumpur,"MYR 1,138","10
Scored 10",Exceptional,3,Four-Bedroom House,https://www.booking.com/hotel/my/the-leaf-taman-pertama-near-mrt-ucsi-10-pax.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=41&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=732643401_326580810_10_0_0&highlighted_blocks=732643401_326580810_10_0_0&matching_block_id=732643401_326580810_10_0_0&sr_pri_blocks=732643401_326580810_10_0_0__113810&from=searchresults,No deals available
Like HOME vortex KLCC,"Bukit Bintang, Kuala Lumpur","MYR 1,260","10
Scored 10",Exceptional,14,Three-Bedroom Apartment,https://www.booking.com/hotel/my/vortexklcc.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=42&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=910047001_362189542_2_0_0&highlighted_blocks=910047001_362189542_2_0_0&matching_block_id=910047001_362189542_2_0_0&sr_pri_blocks=910047001_362189542_2_0_0__126000&from=searchresults,No deals available
Kl Raymond Apartment at berjay time square,"Bukit Bintang, Kuala Lumpur","MYR 1,176","10
Scored 10",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/kuala-lumpur-apartment-at-times-square-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=43&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=819140001_375346447_2_0_0&highlighted_blocks=819140001_375346447_2_0_0&matching_block_id=819140001_375346447_2_0_0&sr_pri_blocks=819140001_375346447_2_0_0__117600&from=searchresults,No deals available
Platinum Suites Kuala Lumpur by Cityscape,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,224","10
Scored 10",Exceptional,4,Superior King Suite,https://www.booking.com/hotel/my/platinum-suites-kuala-lumpur-by-cityscape.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=44&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1212433003_394074278_3_0_0&highlighted_blocks=1212433003_394074278_3_0_0&matching_block_id=1212433003_394074278_3_0_0&sr_pri_blocks=1212433003_394074278_3_0_0__122400&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
near klcc vortex suites by Zamila,"Bukit Bintang, Kuala Lumpur","MYR 1,470","10
Scored 10",Exceptional,11,Three-Bedroom Apartment,https://www.booking.com/hotel/my/12-jalan-sultan-ismail-kuala-lampur-city-center-50250-kuala-lampur-malaysia.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=45&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=912908902_362659450_0_0_0&highlighted_blocks=912908902_362659450_0_0_0&matching_block_id=912908902_362659450_0_0_0&sr_pri_blocks=912908902_362659450_0_0_0__147000&from=searchresults,No deals available
Pool View Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,400","10
Scored 10",Exceptional,8,One-Bedroom Apartment,https://www.booking.com/hotel/my/the-face-suites-1-by-booking-deal.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=46&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=967671901_374447540_2_0_0&highlighted_blocks=967671901_374447540_2_0_0&matching_block_id=967671901_374447540_2_0_0&sr_pri_blocks=967671901_374447540_2_0_0__140000&from=searchresults,No deals available
The Platinum Suites KLCC by MOON-SKY,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,404","10
Scored 10",Exceptional,4,Classic One-Bedroom Apartment with King Bed,https://www.booking.com/hotel/my/the-platinum-suites-klcc-by-moon-sky.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=47&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1211599601_393322215_2_0_0&highlighted_blocks=1211599601_393322215_2_0_0&matching_block_id=1211599601_393322215_2_0_0&sr_pri_blocks=1211599601_393322215_2_0_0__140400&from=searchresults,No deals available
vortex suites klcc Adela Suites,"Bukit Bintang, Kuala Lumpur","MYR 2,268","10
Scored 10",Exceptional,17,Three-Bedroom Apartment,https://www.booking.com/hotel/my/vortex-suites-klcc-by-vk.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=48&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=916721301_363183540_3_0_0&highlighted_blocks=916721301_363183540_3_0_0&matching_block_id=916721301_363183540_3_0_0&sr_pri_blocks=916721301_363183540_3_0_0__226800&from=searchresults,No deals available
The Face Suites By Infinity Pool,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 985,"9.9
Scored 9.9",Exceptional,12,Superior Apartment,https://www.booking.com/hotel/my/the-platinum-klcc-by-guest-house.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=49&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1209165104_394112997_2_0_0&highlighted_blocks=1209165104_394112997_2_0_0&matching_block_id=1209165104_394112997_2_0_0&sr_pri_blocks=1209165104_394112997_2_0_0__98477&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Summer Suites KLCCby Victoria,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 450,"9.8
Scored 9.8",Exceptional,22,Studio with Balcony,https://www.booking.com/hotel/my/mercu-summer-suites-by-victoria.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=50&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1190400202_391374125_2_0_0&highlighted_blocks=1190400202_391374125_2_0_0&matching_block_id=1190400202_391374125_2_0_0&sr_pri_blocks=1190400202_391374125_2_0_0__45000&from_sustainable_property_sr=1&from=searchresults,No deals available
Vertical Paradise KL @ Level 53,"Pudu, Kuala Lumpur",MYR 461,"9.9
Scored 9.9",Exceptional,11,Three-Bedroom Apartment,https://www.booking.com/hotel/my/vertical-paradise-kl-level-53.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=51&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1143947401_387249549_2_0_0&highlighted_blocks=1143947401_387249549_2_0_0&matching_block_id=1143947401_387249549_2_0_0&sr_pri_blocks=1143947401_387249549_2_0_0__46080&from=searchresults,No deals available
Soho Suites KLCC by Comfort Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 750,"9.9
Scored 9.9",Exceptional,13,Apartment,https://www.booking.com/hotel/my/soho-suites-klcc-by-comfort-suites-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=52&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1189478802_395017179_4_0_0&highlighted_blocks=1189478802_395017179_4_0_0&matching_block_id=1189478802_395017179_4_0_0&sr_pri_blocks=1189478802_395017179_4_0_0__75000&from=searchresults,No deals available
KL COSY CONDO - NEW Stylish home above KL East Mall,Kuala Lumpur,MYR 778,"9.9
Scored 9.9",Exceptional,14,Two-Bedroom Apartment,https://www.booking.com/hotel/my/kl-cosy-condo-stylish-2-bedroom-kl-east-mall-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=53&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=929305801_367351705_6_0_0&highlighted_blocks=929305801_367351705_6_0_0&matching_block_id=929305801_367351705_6_0_0&sr_pri_blocks=929305801_367351705_6_0_0__77778&from=searchresults,No deals available
Opus Residences by Manhattan Group,"Bukit Bintang, Kuala Lumpur",MYR 592,"9.7
Scored 9.7",Exceptional,3,One-Bedroom Apartment,https://www.booking.com/hotel/my/opus-residences-by-manhattan-group.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=54&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1159685801_388681464_2_0_0&highlighted_blocks=1159685801_388681464_2_0_0&matching_block_id=1159685801_388681464_2_0_0&sr_pri_blocks=1159685801_388681464_2_0_0__59220&from=searchresults,No deals available
Vortex Suites Near Klcc-365,"Bukit Bintang, Kuala Lumpur","MYR 3,672","9.7
Scored 9.7",Exceptional,19,Three-Bedroom Apartment,https://www.booking.com/hotel/my/sky-suites-klcc-by-sk.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=55&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=780811604_337440959_4_0_0&highlighted_blocks=780811604_337440959_4_0_0&matching_block_id=780811604_337440959_4_0_0&sr_pri_blocks=780811604_337440959_4_0_0__367200&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
CITY APARTMENT at TIMES SQUARE,"Bukit Bintang, Kuala Lumpur",MYR 491,"9.8
Scored 9.8",Exceptional,5,One-Bedroom Apartment,https://www.booking.com/hotel/my/apartment-at-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=56&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1145892201_387432900_2_0_0&highlighted_blocks=1145892201_387432900_2_0_0&matching_block_id=1145892201_387432900_2_0_0&sr_pri_blocks=1145892201_387432900_2_0_0__49080&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
The Platinum Suite Kuala Lumpur By Home Style,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 587,"9.8
Scored 9.8",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/the-platinum-suite-kuala-lumpur-by-home-style.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=57&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1197188201_392014287_2_0_0&highlighted_blocks=1197188201_392014287_2_0_0&matching_block_id=1197188201_392014287_2_0_0&sr_pri_blocks=1197188201_392014287_2_0_0__58725&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Sky Service suites at Times Square,"Bukit Bintang, Kuala Lumpur",MYR 569,"9.8
Scored 9.8",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/sky-service-suites-at-times-square-bukit-bintang.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=58&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1201953401_394168318_2_0_0&highlighted_blocks=1201953401_394168318_2_0_0&matching_block_id=1201953401_394168318_2_0_0&sr_pri_blocks=1201953401_394168318_2_0_0__56940&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
ARK HOTEL MELAWATI,Kuala Lumpur,MYR 140,"9.8
Scored 9.8",Exceptional,4,Double Room,https://www.booking.com/hotel/my/ark-melawati.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=59&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1202660501_392522286_0_0_0&highlighted_blocks=1202660501_392522286_0_0_0&matching_block_id=1202660501_392522286_0_0_0&sr_pri_blocks=1202660501_392522286_0_0_0__14000&from=searchresults,No deals available
-24 OFF Monthly l Premium 3BR by CITYSPACE,"Pudu, Kuala Lumpur",MYR 595,"9.8
Scored 9.8",Exceptional,5,Three-Bedroom Apartment,https://www.booking.com/hotel/my/parc-3-32-20.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=60&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1092334201_382108522_0_0_0&highlighted_blocks=1092334201_382108522_0_0_0&matching_block_id=1092334201_382108522_0_0_0&sr_pri_blocks=1092334201_382108522_0_0_0__59500&from=searchresults,No deals available
Vortex Suites Klcc By SALEH,"Bukit Bintang, Kuala Lumpur",MYR 743,"9.8
Scored 9.8",Exceptional,8,Three-Bedroom Apartment,https://www.booking.com/hotel/my/vortex-suites-klcc-kualalumpur1.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=61&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810468&all_sr_blocks=1132106501_387536127_2_0_0&highlighted_blocks=1132106501_387536127_2_0_0&matching_block_id=1132106501_387536127_2_0_0&sr_pri_blocks=1132106501_387536127_2_0_0__74250&from=searchresults,No deals available
